App Name,Total Score,Installs,Review Matches TR,Review Matches EN,Desc Matches,Package Name,,Score,URL
Tactical NAV,102,10000,,"WAYPOINT, mission, OFFLINE MAP, in the field, UTM, tactical, combat, atak","UTM, KOORDINAT, tactical, atak, MGRS",com.tacnav.android,,,https://play.google.com/store/apps/details?id=com.tacnav.android&hl=tr&gl=tr
Coordinator-Collect Coordinate,98,500000,"birlik, KOORDINAT",,"UTM, KOORDINAT, ISR, MGRS",com.suleymaner.coordinatorplus,,4.19,https://play.google.com/store/apps/details?id=com.suleymaner.coordinatorplus&hl=tr&gl=tr
Ballistics Calculator 2026,75,100000,,"Ballistics, strelok, MOA, in the field, Bullet Drop",MOA,com.ballistic.calculator.strelok,,4.2608695,https://play.google.com/store/apps/details?id=com.ballistic.calculator.strelok&hl=tr&gl=tr
Waypoint,74,50000,,"UTM, WAYPOINT","UTM, KOORDINAT, WAYPOINT",com.thedroiddev.waypoint,,,https://play.google.com/store/apps/details?id=com.thedroiddev.waypoint&hl=tr&gl=tr
Waypoint Pro,72,5000,,"UTM, WAYPOINT","UTM, KOORDINAT, WAYPOINT",com.thedroiddev.waypointpro,,,https://play.google.com/store/apps/details?id=com.thedroiddev.waypointpro&hl=tr&gl=tr
Bushnell Ballistics,60,50000,Rangefinder,"Ballistics, MOA, mission, strelok, Rangefinder, zeroing","birlik, Ballistics",com.bushnell.ballistics.ab,,0,https://play.google.com/store/apps/details?id=com.bushnell.ballistics.ab&hl=tr&gl=tr
Mgrs & Utm Map,60,1000000,"askeri personel, UTM, KOORDINAT, operasyon","UTM, mission, OFFLINE MAP, MGRS","askeri personel, UTM, KOORDINAT, MGRS",com.zahidcataltas.mgrsharita,,4.7981653,https://play.google.com/store/apps/details?id=com.zahidcataltas.mgrsharita&hl=tr&gl=tr
Chairgun Elite Ballistic Tool,59,50000,UTM,"Ballistics, strelok, zeroing","strelok, MOA",com.jetlab.chairgunelite,,4.0555553,https://play.google.com/store/apps/details?id=com.jetlab.chairgunelite&hl=tr&gl=tr
FURY HD,57,10000,,"strelok, Ballistics, mission, Rangefinder",Ballistics,com.vortexoptics.furyhd,,,https://play.google.com/store/apps/details?id=com.vortexoptics.furyhd&hl=tr&gl=tr
Mgrs & Utm Map Pro,52,10000,"askeri personel, KOORDINAT, MGRS","OFFLINE MAP, MGRS","askeri personel, UTM, KOORDINAT, MGRS",com.zahidcataltas.mgrsutmmappro,,4.62,https://play.google.com/store/apps/details?id=com.zahidcataltas.mgrsutmmappro&hl=tr&gl=tr
